Index;Playername;Score;player_id
1;666pyro666;40480428;27022026-0F244542
2;Malloan;29218594;02032026-0F589565
3;SkyEddy1;28658931;27022026-0U569979
4;StefNinja;17282150;27022026-0W942940
5;Muryökûsho;16663704;27022026-0A442785
6;Queen Anne II;12894100;27022026-0U759405
7;Sky Bum;11943531;27022026-0B964735
8;Scherom;11809736;27022026-0W568024
9;Chrizzly12;11670458;27022026-0Y629632
10;Rousssi;11239084;02032026-0I633901
11;Cherwoo White Rabbit;10876214;27022026-0A151185
12;Avonglati;10789563;27022026-0J535902
13;MateoJ3T;8322059;27022026-0X413496
14;Kaelvorrn;8132603;28022026-0F323457
15;Mystyyy;8068456;27022026-0J796045
16;Kiwi mojo;7957376;27022026-0X678465
17;fineclame;7829663;27022026-0J849824
18;Anarchythewildone;7520064;27022026-0B975195
19;Michachisa;7484774;27022026-0Z906299
20;atomic armadillo;7407802;27022026-0I789470
21;redskin sw;7310494;27022026-0X702646
22;DominusMaximus;7252862;27022026-0P738248
23;Qrypsis;7228795;27022026-0J150156
24;Memento x Mori;7207883;27022026-0O401672
25;TankLadyB;6307169;27022026-0Q651757
26;krokre2;5791407;27022026-0P306296
27;Mepr;5670035;27022026-0O641712
28;Kingstanator;5665736;27022026-0Z100227
29;TåNo;5571455;27022026-0S338920
30;StanTheMan078;5385793;27022026-0E748278
31;Sparta2876;5244426;27022026-0L227344
32;Lady Voldemordine;5238517;27022026-0M302133
33;Sphen of love;4883258;27022026-666X284685
34;Sbanferr;4872109;27022026-0H732678
35;out of game;4412654;27022026-0X534888
36;Dedaloς;4066599;27022026-0Z983319
37;SilenceBG;4044693;27022026-0N539263
38;CrimsonCriminal;3934093;27022026-0O689243
39;Superstorm08;3929188;27022026-0Z974905
40;Ozzy181994;3890791;27022026-0H344530
41;whatyousay;3890561;28022026-0W747740
42;Krismaski;3857012;27022026-0G226654
43;Bru line;3807462;02032026-0P562685
44;Vaidosius;3785797;27022026-0N822529
45;DraAgoOnNiki;3694835;04032026-0N722547
46;Marcin747;3649299;27022026-0B443842
47;Bladerunner74;3631413;27022026-0Q377100
48;Aquarivs;3605445;27022026-0F386580
49;Rafmac90;3571786;27022026-0B676774
50;CG Kills;3527125;27022026-0O872732
51;Scoorpic;3490645;27022026-0M961163
52;Davidx08;3429469;27022026-0W370741
53;Jo8sk;3277310;02032026-0X761539
54;Flatulax;3271734;28022026-0B542343
55;Relnevs;3195563;27022026-0E317889
56;Fuzzy Cluster;3174486;27022026-0N679616
57;Lord Voldemaschine;3159643;27022026-0S920742
58;Ati0307;3097052;27022026-0B736222
59;pontios1982;3087163;28022026-0Y425865
60;CyberSagE;2912375;27022026-0R916570
61;UniField 101;2784250;27022026-0B621341
62;FESC10;2781332;27022026-0K379920
63;Mustang3110;2768631;27022026-0I448270
64;Lady Voldegardine;2732373;27022026-0Z247821
65;Adikonrpk;2664595;27022026-0F598013
66;Mapthemachine;2630047;02032026-0J916925
67;1nū KubØ;2600141;02032026-0L742379
68;straight 0090;2467108;27022026-0G246820
69;JG1000;2438658;28022026-0B188477
70;Lucifi3r;2437039;27022026-0E305366
71;domba98;2386935;27022026-0T411972
72;NOÉLINE;2337058;27022026-0F809577
73;Ibo212121;2333125;27022026-0N823518
74;Alexys99;2331250;27022026-0F956013
75;Tata111225;2109375;27022026-0G180117
76;serbus zagreb;2091744;27022026-0Z138970
77;Marcatuz;1900218;27022026-0P598551
78;TesterXo;1860250;27022026-0B939820
79;Pumarose;1825208;27022026-0U156592
80;Myth pala;1782995;27022026-0I601222
81;ponghi;1754416;27022026-0V597705
82;Dradeliomecus;1650000;27022026-0Z314234
83;Olmer The Great I;1587000;27022026-0B805605
84;Damian 4488;1550000;27022026-0I914905
85;duffyduckling;1301584;27022026-0R593143
86;ThisIsLoreeP;1255875;27022026-0P478090
87;Bongomarvin;1250000;27022026-0R887817
88;Jeremy2626;1117875;27022026-0X928765
89;Pablo 1010;863750;27022026-0U303921
90;NagatoUwU;357663;27022026-0Q184354
91;Taibo1988;263379;27022026-0G497261
92;Blo0dThiRsTy;0;27022026-0I809518
93;Tugtug17;0;27022026-0N645728
94;Mighty Ghost;0;27022026-0D172164
95;Quatraz;0;27022026-0U729737
96;Miggaboy;0;27022026-0F445976
