Index;Playername;Score;player_id
1;StefNinja;45598570;27022026-0W942940
2;Rousssi;35420066;02032026-0I633901
3;JG1000;28521926;28022026-0B188477
4;Queen Anne ll;28195255;27022026-0U759405
5;Muryōkūsho;28012335;27022026-0A442785
6;Sky Bum;26344464;27022026-0B964735
7;TåNø;23989126;27022026-0S338920
8;SkyEddy1;23555462;27022026-0U569979
9;Lady Voldemordine;23402866;27022026-0M302133
10;Malloan;22732684;02032026-0F589565
11;Chrizzly12;22616328;27022026-0Y629632
12;Sphen of love;22363802;27022026-666X284685
13;Sparta2876;22114085;27022026-0L227344
14;Kiwi mojo;20958142;27022026-0X678465
15;Mepr;20915848;27022026-0O641712
16;StanTheMan078;20886598;27022026-0E748278
17;Qrypsis;19586812;27022026-0J150156
18;Kingstanator;19424308;27022026-0Z100227
19;Avonglati;19037773;27022026-0J535902
20;Michachisa;18317472;27022026-0Z906299
21;Scoorpic;18282624;27022026-0M961163
22;Memento x Mori;17756442;27022026-0O401672
23;MateoJ3T;17723537;27022026-0X413496
24;Bru line;17336270;02032026-0P562685
25;Vaidosius;17033672;27022026-0N822529
26;Jo8sk;17006322;02032026-0X761539
27;DominusMaximus;17001696;27022026-0P738248
28;CG  Kills;16973264;27022026-0O872732
29;Rafmac90;16612290;27022026-0B676774
30;krokre2;16570962;27022026-0P306296
31;Lord Voldemaschine;16497402;27022026-0S920742
32;Lady Voldegardine;16164898;27022026-0Z247821
33;Mystyyy;15808010;27022026-0J796045
34;Cherwoo White Rabbit;15725820;27022026-0A151185
35;Mapthemachine;15248154;02032026-0J916925
36;Ibo212121;15108344;27022026-0N823518
37;Taibo1988;14914531;27022026-0G497261
38;ThisIsLoreeP;13849910;27022026-0P478090
39;TankLadyB;13478468;27022026-0Q651757
40;Alexys99;12970100;27022026-0F956013
41;666pyro666;12937328;27022026-0F244542
42;CyberSagE;12724024;27022026-0R916570
43;Fuzzy Cluster;12247183;27022026-0N679616
44;TesterXo;12211162;27022026-0B939820
45;Relnevs;12148590;27022026-0E317889
46;Jeremy2626;12114798;27022026-0X928765
47;Adiksonrpk;11949866;27022026-0F598013
48;Sbanferr;11945720;27022026-0H732678
49;Ati0307;11914724;27022026-0B736222
50;finecIame;11903496;27022026-0J849824
51;Bongomarvin;11607754;27022026-0R887817
52;Pumarose;11084644;27022026-0U156592
53;redskin sw;10801830;27022026-0X702646
54;domba98;10473296;27022026-0T411972
55;Ozzy181994;10358808;27022026-0H344530
56;Scherom;10326514;27022026-0W568024
57;Kaelvornn;9803144;28022026-0F323457
58;pontios1982;9651588;28022026-0Y425865
59;out of game;9503736;27022026-0X534888
60;1nū KubØ;9272374;02032026-0L742379
61;Olmer The Great I;9212704;27022026-0B805605
62;Aquarivs;9090402;27022026-0F386580
63;Mustang3110;9089598;27022026-0I448270
64;duffyduckling;8964478;27022026-0R593143
65;Krismaski;8891185;27022026-0G226654
66;Bladerunner74;8843314;27022026-0Q377100
67;Tugtug17;8754016;27022026-0N645728
68;NagatoUwU;8630346;27022026-0Q184354
69;Myth pala;8564050;27022026-0I601222
70;Lucifi3r;8527264;27022026-0E305366
71;Anarchythewildone;8495266;27022026-0B975195
72;Pablo 1010;8342436;27022026-0U303921
73;atomic armadillo;8070902;27022026-0I789470
74;DraAgo0n;8042528;04032026-0N722547
75;UniField 101;7996472;27022026-0B621341
76;Flatulax;7989426;28022026-0B542343
77;Marcin747;7937748;27022026-0B443842
78;Superstorm08;7708736;27022026-0Z974905
79;Mighty Ghost;7614121;27022026-0D172164
80;whatyousay;7613464;28022026-0W747740
81;Damian 4488;7510266;27022026-0I914905
82;CrimsonCriminal;7422848;27022026-0O689243
83;Dradeliomecus;7377866;27022026-0Z314234
84;straight 0090;7376154;27022026-0G246820
85;ponghi;7273438;27022026-0V597705
86;FESC10;7227566;27022026-0K379920
87;Dedaloς;7026938;27022026-0Z983319
88;NOÉLINE;6076278;27022026-0F809577
89;serbus zagreb;5880590;27022026-0Z138970
90;Tata111225;5547248;27022026-0G180117
91;Quatraz;4989932;27022026-0U729737
92;SilenceBG;4561448;27022026-0N539263
93;Marcatuz;4475468;27022026-0P598551
94;Davidx08;4415930;27022026-0W370741
95;ᴛᴀᴘɪ;4296850;27022026-0N598990
96;Miggaboy;2659484;27022026-0F445976
97;Blo0dThiRsTy;1633326;27022026-0I809518
