Index;Playername;Score;player_id
1;StefNinja;26941475;27022026-0W942940
2;SkyEddy1;19168329;27022026-0U569979
3;666pyro666;19102261;27022026-0F244542
4;Avonglati;18049077;27022026-0J535902
5;Muryōkūsho;17282791;27022026-0A442785
6;Cherwoo White Rabbit;16590050;27022026-0A151185
7;Rousssi;14402675;02032026-0I633901
8;Scherom;14096075;27022026-0W568024
9;MateoJ3T;13384250;27022026-0X413496
10;Malloan;11868900;02032026-0F589565
11;Sky Bum;11698375;27022026-0B964735
12;Scoorpic;11690725;27022026-0M961163
13;StanTheMan078;11554725;27022026-0E748278
14;Sphen of love;11176925;27022026-666X284685
15;Chrizzly12;10989450;27022026-0Y629632
16;Michachisa;10441733;27022026-0Z906299
17;Vaidosius;10328950;27022026-0N822529
18;Jo8sk;10288591;02032026-0X761539
19;DominusMaximus;10282650;27022026-0P738248
20;Queen Anne ll;9816789;27022026-0U759405
21;krokre2;9304975;27022026-0P306296
22;Lady Voldemordine;9291025;27022026-0M302133
23;Kingstanator;8606725;27022026-0Z100227
24;Marcin747;8514150;27022026-0B443842
25;TankLadyB;8488425;27022026-0Q651757
26;Mepr;8283050;27022026-0O641712
27;JG1000;8229725;28022026-0B188477
28;redskin sw;8207575;27022026-0X702646
29;out of game;8202191;27022026-0X534888
30;ponghi;8131075;27022026-0V597705
31;Anarchythewildone;8102465;27022026-0B975195
32;Mystyyy;8031975;27022026-0J796045
33;Kiwi mojo;7952700;27022026-0X678465
34;1nū KubØ;7911150;02032026-0L742379
35;Rafmac90;7876686;27022026-0B676774
36;whatyousay;7836425;28022026-0W747740
37;Mapthemachine;7816950;02032026-0J916925
38;finecIame;7750750;27022026-0J849824
39;Memento x Mori;7582800;27022026-0O401672
40;Qrypsis;7576575;27022026-0J150156
41;NagatoUwU;7572925;27022026-0Q184354
42;Sparta2876;7525259;27022026-0L227344
43;atomic armadillo;7508925;27022026-0I789470
44;Lord Voldemaschine;7455250;27022026-0S920742
45;Alexys99;7409400;27022026-0F956013
46;Kaelvornn;7379875;28022026-0F323457
47;Mustang3110;7353072;27022026-0I448270
48;Olmer The Great I;7296950;27022026-0B805605
49;Jeremy2626;7266550;27022026-0X928765
50;Relnevs;7251800;27022026-0E317889
51;FESC10;7234700;27022026-0K379920
52;Superstorm08;7227555;27022026-0Z974905
53;Flatulax;7221425;28022026-0B542343
54;Dradeliomecus;7218450;27022026-0Z314234
55;Dedaloς;7008925;27022026-0Z983319
56;domba98;6867790;27022026-0T411972
57;Taibo1988;6861275;27022026-0G497261
58;straight 0090;6617050;27022026-0G246820
59;Bru line;6127750;02032026-0P562685
60;Fuzzy Cluster;6031894;27022026-0N679616
61;TåNø;5914225;27022026-0S338920
62;Davidx08;5777050;27022026-0W370741
63;Aquarivs;5596725;27022026-0F386580
64;Adiksonrpk;5593075;27022026-0F598013
65;Bladerunner74;5512850;27022026-0Q377100
66;Sbanferr;5487000;27022026-0H732678
67;Blo0dThiRsTy;5320300;27022026-0I809518
68;Ozzy181994;5294860;27022026-0H344530
69;Myth pala;5195450;27022026-0I601222
70;Ati0307;5139600;27022026-0B736222
71;CrimsonCriminal;5135440;27022026-0O689243
72;pontios1982;4890545;28022026-0Y425865
73;Krismaski;4868320;27022026-0G226654
74;Ibo212121;4746875;27022026-0N823518
75;Lucifi3r;4687105;27022026-0E305366
76;Lady Voldegardine;4553850;27022026-0Z247821
77;serbus zagreb;4445800;27022026-0Z138970
78;TesterXo;4326100;27022026-0B939820
79;UniField 101;4305125;27022026-0B621341
80;Tata111225;4240475;27022026-0G180117
81;Bongomarvin;4031250;27022026-0R887817
82;Damian 4488;3888775;27022026-0I914905
83;NOÉLINE;3730350;27022026-0F809577
84;CyberSagE;3728450;27022026-0R916570
85;DraAgo0n;3492270;04032026-0N722547
86;Pumarose;3472200;27022026-0U156592
87;CG  Kills;2998425;27022026-0O872732
88;Pablo 1010;2861500;27022026-0U303921
89;Marcatuz;2859050;27022026-0P598551
90;SilenceBG;2588285;27022026-0N539263
91;Mighty Ghost;2474238;27022026-0D172164
92;duffyduckling;2366250;27022026-0R593143
93;ThisIsLoreeP;2129350;27022026-0P478090
94;ᴛᴀᴘɪ;1537790;27022026-0N598990
