Index;Playername;Score;player_id
1;SkyEddy1;19788516;27022026-0U569979
2;Scherom;18993137;27022026-0W568024
3;Sky Bum;14937373;27022026-0B964735
4;Krismaski;13933689;27022026-0G226654
5;Kiwi mojo;13076013;27022026-0X678465
6;Avonglati;12912672;27022026-0J535902
7;redskin sw;12848974;27022026-0X702646
8;Muryōkūsho;12050854;27022026-0A442785
9;Chrizzly12;11260675;27022026-0Y629632
10;ᴄʜɪᴄᴋᴇɴ;11233797;27022026-0S340208
11;out of game;11050482;27022026-0X534888
12;Queen Anne ll;10694330;27022026-0U759405
13;MateoJ3T;10561114;27022026-0X413496
14;StanTheMan078;9810841;27022026-0E748278
15;Kingstanator;9477229;27022026-0Z100227
16;Cherwoo White Rabbit;9293870;27022026-0A151185
17;Alexys99;9230419;27022026-0F956013
18;atomic armadillo;9193950;27022026-0I789470
19;StefNinja;8834663;27022026-0W942940
20;Superstorm08;8659386;27022026-0Z974905
21;Mustang3110;8441540;27022026-0I448270
22;666pyro666;8312352;27022026-0F244542
23;Scoorpic;8226522;27022026-0M961163
24;Sphen of love;8096866;27022026-666X284685
25;Vaidosius;7970950;27022026-0N822529
26;whatyousay;7967825;28022026-0W747740
27;Ozzy181994;7932961;27022026-0H344530
28;Sparta2876;7930899;27022026-0L227344
29;UniField 101;7929018;27022026-0B621341
30;Tugtug17;7699919;27022026-0N645728
31;Jeremy2626;7653857;27022026-0X928765
32;Ati0307;7651829;27022026-0B736222
33;DominusMaximus;7556156;27022026-0P738248
34;TankLadyB;7421415;27022026-0Q651757
35;Michachisa;7327466;27022026-0Z906299
36;JG1000;7314408;28022026-0B188477
37;Dedaloς;7289145;27022026-0Z983319
38;domba98;7282460;27022026-0T411972
39;Memento x Mori;7261810;27022026-0O401672
40;Lady Voldemordine;7252775;27022026-0M302133
41;Davidx08;7230023;27022026-0W370741
42;Anarchythewildone;7216356;27022026-0B975195
43;ponghi;7215935;27022026-0V597705
44;Rafmac90;7214931;27022026-0B676774
45;Marcin747;7210851;27022026-0B443842
46;TåNø;7181540;27022026-0S338920
47;Adiksonrpk;6153220;27022026-0F598013
48;FESC10;6020311;27022026-0K379920
49;Aquarivs;5816586;27022026-0F386580
50;TesterXo;5679334;27022026-0B939820
51;Bladerunner74;5647604;27022026-0Q377100
52;pontios1982;5431933;28022026-0Y425865
53;Mystyyy;5259284;27022026-0J796045
54;Lady Voldegardine;5139450;27022026-0Z247821
55;NOÉLINE;5123251;27022026-0F809577
56;UrGnie;5023561;27022026-0H771285
57;Myth pala;5022735;27022026-0I601222
58;Dradeliomecus;4899675;27022026-0Z314234
59;CrimsonCriminal;4783656;27022026-0O689243
60;Lord Voldemaschine;4781200;27022026-0S920742
61;BaggerVancer;4619480;27022026-0E533809
62;Mepr;4616348;27022026-0O641712
63;CG  Kills;4388108;27022026-0O872732
64;Nyxxfall;4349939;27022026-0W836537
65;Sbanferr;4292554;27022026-0H732678
66;Flatulax;4277465;28022026-0B542343
67;Pumarose;4086290;27022026-0U156592
68;Ibo212121;4076768;27022026-0N823518
69;CyberSagE;3948483;27022026-0R916570
70;Olmer The Great I;3881715;27022026-0B805605
71;straight 0090;3870388;27022026-0G246820
72;Pablo 1010;3833916;27022026-0U303921
73;Marcatuz;3778339;27022026-0P598551
74;Relnevs;3777992;27022026-0E317889
75;Taibo1988;3723522;27022026-0G497261
76;NagatoUwU;3685927;27022026-0Q184354
77;Damian 4488;3646255;27022026-0I914905
78;Whispera;3166085;27022026-0O221816
79;serbus zagreb;3161593;27022026-0Z138970
80;finecIame;3161075;27022026-0J849824
81;Fuzzy Cluster;3092485;27022026-0N679616
82;Tata111225;3063902;27022026-0G180117
83;Lucifi3r;2983635;27022026-0E305366
84;ᴛᴀᴘɪ;2786793;27022026-0N598990
85;duffyduckling;2626600;27022026-0R593143
86;Blo0dThiRsTy;2443130;27022026-0I809518
87;krokre2;2388055;27022026-0P306296
88;SilenceBG;2374285;27022026-0N539263
89;Small Richard;2179728;27022026-0H649953
90;Bongomarvin;2107465;27022026-0R887817
91;ThisIsLoreeP;2043394;27022026-0P478090
92;Tеddу Вeаr;1745781;27022026-0L489800
93;Miggaboy;1704023;27022026-0F445976
94;Quatraz;1353300;27022026-0U729737
95;Mighty Ghost;632867;27022026-0D172164
96;Qrypsis;550000;27022026-0J150156
97;Wujek Samo Zło;425888;27022026-0G467101
