Index;Playername;Score;player_id
1;StefNinja;33950252;27022026-0W942940
2;Queen Anne ll;32681032;27022026-0U759405
3;Muryōkūsho;26851940;27022026-0A442785
4;666pyro666;24790004;27022026-0F244542
5;CG  Kills;22231606;27022026-0O872732
6;Sky Bum;16062378;27022026-0B964735
7;serbus zagreb;15785050;27022026-0Z138970
8;Kiwi mojo;14776402;27022026-0X678465
9;Ati0307;14330336;27022026-0B736222
10;Kingstanator;13545984;27022026-0Z100227
11;Kaelvornn;13290948;28022026-0F323457
12;TankLadyB;13265302;27022026-0Q651757
13;Mepr;12972076;27022026-0O641712
14;SkyEddy1;12835454;27022026-0U569979
15;TesterXo;12190402;27022026-0B939820
16;Superstorm08;12029794;27022026-0Z974905
17;Memento x Mori;11991040;27022026-0O401672
18;Michachisa;11837456;27022026-0Z906299
19;Lady Voldegardine;11758714;27022026-0Z247821
20;DominusMaximus;11566230;27022026-0P738248
21;StanTheMan078;11248978;27022026-0E748278
22;Lady Voldemordine;11068082;27022026-0M302133
23;Tugtug17;10422130;27022026-0N645728
24;JG1000;10359490;28022026-0B188477
25;Scoorpic;10211706;27022026-0M961163
26;Scherom;9850503;27022026-0W568024
27;Rafmac90;9776546;27022026-0B676774
28;MateoJ3T;9727142;27022026-0X413496
29;Marcin747;9642340;27022026-0B443842
30;Sphen of love;9272500;27022026-666X284685
31;Sbanferr;9042834;27022026-0H732678
32;Sparta2876;9038290;27022026-0L227344
33;Damian 4488;8543516;27022026-0I914905
34;Chrizzly12;8495942;27022026-0Y629632
35;Vaidosius;8475742;27022026-0N822529
36;Bongomarvin;8457728;27022026-0R887817
37;Alexys99;8414640;27022026-0F956013
38;atomic armadillo;8294742;27022026-0I789470
39;whatyousay;8196406;28022026-0W747740
40;NagatoUwU;8195596;27022026-0Q184354
41;Davidx08;8069206;27022026-0W370741
42;Avonglati;7993234;27022026-0J535902
43;Mystyyy;7987526;27022026-0J796045
44;Lord Voldemaschine;7974106;27022026-0S920742
45;Dedaloς;7829330;27022026-0Z983319
46;Krismaski;7829068;27022026-0G226654
47;Ibo212121;7790326;27022026-0N823518
48;Adiksonrpk;7749734;27022026-0F598013
49;Lucifi3r;7710322;27022026-0E305366
50;Olmer The Great I;7699508;27022026-0B805605
51;ponghi;7635312;27022026-0V597705
52;NOÉLINE;7524060;27022026-0F809577
53;Taibo1988;7413840;27022026-0G497261
54;finecIame;7373468;27022026-0J849824
55;Fuzzy Cluster;7355672;27022026-0N679616
56;Anarchythewildone;7352106;27022026-0B975195
57;out of game;7331958;27022026-0X534888
58;Relnevs;7311638;27022026-0E317889
59;CyberSagE;7283680;27022026-0R916570
60;BaggerVancer;7251284;27022026-0E533809
61;straight 0090;7241758;27022026-0G246820
62;Dradeliomecus;7238218;27022026-0Z314234
63;Flatulax;7222922;28022026-0B542343
64;domba98;7222472;27022026-0T411972
65;FESC10;7220798;27022026-0K379920
66;duffyduckling;7220504;27022026-0R593143
67;ThisIsLoreeP;6902670;27022026-0P478090
68;Qrypsis;6825728;27022026-0J150156
69;Small Richard;6682273;27022026-0H649953
70;Myth pala;6671666;27022026-0I601222
71;Miggaboy;6605968;27022026-0F445976
72;Mustang3110;6204074;27022026-0I448270
73;Cherwoo White Rabbit;6149798;27022026-0A151185
74;Bladerunner74;5997904;27022026-0Q377100
75;Ozzy181994;5699212;27022026-0H344530
76;Whispera;5696736;27022026-0O221816
77;redskin sw;5531430;27022026-0X702646
78;krokre2;5306024;27022026-0P306296
79;Pablo 1010;5116448;27022026-0U303921
80;UrGnie;5037528;27022026-0H771285
81;Aquarivs;4747590;27022026-0F386580
82;UniField 101;4586940;27022026-0B621341
83;Pumarose;4399484;27022026-0U156592
84;Nyxxfall;4230734;27022026-0W836537
85;TåNø;4104196;27022026-0S338920
86;Marcatuz;4065926;27022026-0P598551
87;CrimsonCriminal;4008246;27022026-0O689243
88;Quatraz;3945230;27022026-0U729737
89;Mighty Ghost;3852300;27022026-0D172164
90;ᴛᴀᴘɪ;3625038;27022026-0N598990
91;Tata111225;3386930;27022026-0G180117
92;Jeremy2626;3210198;27022026-0X928765
93;Blo0dThiRsTy;2728500;27022026-0I809518
94;SilenceBG;2622426;27022026-0N539263
95;ᴄʜɪᴄᴋᴇɴ;2156060;27022026-0S340208
96;Tеddу Вeаr;1792632;27022026-0L489800
