Index;Playername;Score;player_id
97;Wujek Samo Zło;725888;27022026-0G467101
96;Tеddу Вeаr;1654275;27022026-0L489800
95;Blo0dThiRsTy;1820000;27022026-0I809518
94;Small Richard;2056480;27022026-0H649953
93;Quatraz;2107700;27022026-0U729737
92;Mighty Ghost;2216992;27022026-0D172164
91;Nyxxfall;2274700;27022026-0W836537
90;SilenceBG;2294025;27022026-0N539263
89;Miggaboy;2317200;27022026-0F445976
88;CrimsonCriminal;2982220;27022026-0O689243
87;Bongomarvin;3067625;27022026-0R887817
86;Aquarivs;3098125;27022026-0F386580
85;Whispera;3145575;27022026-0O221816
84;ThisIsLoreeP;3253250;27022026-0P478090
83;Pablo 1010;3324800;27022026-0U303921
82;Dedaloς;4164975;27022026-0Z983319
81;Sparta2876;4370891;27022026-0L227344
80;Krismaski;4543200;27022026-0G226654
79;Jeremy2626;4606675;27022026-0X928765
78;NagatoUwU;4612325;27022026-0Q184354
77;Pumarose;4638050;27022026-0U156592
76;Tata111225;4695050;27022026-0G180117
75;NOÉLINE;4703775;27022026-0F809577
74;SkyEddy1;4762379;27022026-0U569979
73;domba98;4849790;27022026-0T411972
72;duffyduckling;5022725;27022026-0R593143
71;Mystyyy;5144775;27022026-0J796045
70;serbus zagreb;5359750;27022026-0Z138970
69;TesterXo;5410850;27022026-0B939820
68;Olmer The Great I;5473550;27022026-0B805605
67;Alexys99;5665375;27022026-0F956013
66;Bladerunner74;5674525;27022026-0Q377100
65;UrGnie;5743625;27022026-0H771285
64;Mustang3110;5949014;27022026-0I448270
63;Taibo1988;5958675;27022026-0G497261
62;Adiksonrpk;6173350;27022026-0F598013
61;ᴄʜɪᴄᴋᴇɴ;6647975;27022026-0S340208
60;ponghi;6687175;27022026-0V597705
59;Ibo212121;6904375;27022026-0N823518
58;Ozzy181994;7200090;27022026-0H344530
57;Muryōkūsho;7207514;27022026-0A442785
56;Flatulax;7210900;28022026-0B542343
55;Lady Voldemordine;7216875;27022026-0M302133
54;Chrizzly12;7221250;27022026-0Y629632
53;krokre2;7224675;27022026-0P306296
52;Davidx08;7226550;27022026-0W370741
51;FESC10;7236925;27022026-0K379920
50;straight 0090;7242400;27022026-0G246820
49;Myth pala;7243250;27022026-0I601222
48;DominusMaximus;7249375;27022026-0P738248
47;Relnevs;7251375;27022026-0E317889
46;Kaelvornn;7255625;28022026-0F323457
45;Scherom;7279275;27022026-0W568024
44;UniField 101;7283875;27022026-0B621341
43;out of game;7289910;27022026-0X534888
42;redskin sw;7293875;27022026-0X702646
41;JG1000;7294910;28022026-0B188477
40;Cherwoo White Rabbit;7299325;27022026-0A151185
39;Mepr;7321975;27022026-0O641712
38;Marcatuz;7354050;27022026-0P598551
37;666pyro666;7368138;27022026-0F244542
36;Qrypsis;7427500;27022026-0J150156
35;Rafmac90;7434590;27022026-0B676774
34;Dradeliomecus;7549325;27022026-0Z314234
33;Fuzzy Cluster;7551159;27022026-0N679616
32;CyberSagE;7880550;27022026-0R916570
31;ᴛᴀᴘɪ;7952545;27022026-0N598990
30;Tugtug17;7954475;27022026-0N645728
29;Michachisa;8074744;27022026-0Z906299
28;whatyousay;8099900;28022026-0W747740
27;CG  Kills;8108075;27022026-0O872732
26;Avonglati;8140520;27022026-0J535902
25;Damian 4488;8198625;27022026-0I914905
24;Kingstanator;8214225;27022026-0Z100227
23;BaggerVancer;8248100;27022026-0E533809
22;Anarchythewildone;8275830;27022026-0B975195
21;TankLadyB;8531875;27022026-0Q651757
20;Lucifi3r;8539430;27022026-0E305366
19;Sphen of love;8637300;27022026-666X284685
18;finecIame;8832750;27022026-0J849824
17;Kiwi mojo;8848325;27022026-0X678465
16;atomic armadillo;8861100;27022026-0I789470
15;Ati0307;9157575;27022026-0B736222
14;StanTheMan078;9238875;27022026-0E748278
13;MateoJ3T;9320175;27022026-0X413496
12;Superstorm08;9333365;27022026-0Z974905
11;Lord Voldemaschine;9490675;27022026-0S920742
10;Vaidosius;9503750;27022026-0N822529
9;Memento x Mori;9615975;27022026-0O401672
8;Sbanferr;9813200;27022026-0H732678
7;Marcin747;10198400;27022026-0B443842
6;TåNø;10564500;27022026-0S338920
5;Scoorpic;11427875;27022026-0M961163
4;Queen Anne ll;12066623;27022026-0U759405
3;Sky Bum;13377350;27022026-0B964735
2;Lady Voldegardine;13562375;27022026-0Z247821
1;StefNinja;15701300;27022026-0W942940
