Index;Playername;Score;player_id
5;666pyro666;;
50;Adiksonrpk;;
44;Alexys99;;
35;Anarchythewildone;;
76;Aquarivs;;
32;Ati0307;;
40;atomic armadillo;;
9;Avonglati;;
39;BaggerVancer;;
64;Bladerunner74;;
94;BloOdThiRsTy;;
89;Bongomarvin;;
13;CG Kills;;
28;Cherwoo White Rabbit;;
41;CHICKEN;;
24;Chrizzly12;;
91;CrimsonCriminal;;
67;CyberSagE;;
63;Damian 4488;;
45;Davidx08;;
43;Dedaloç;;
56;domba98;;
12;DominusMaximus;;
51;Dradeliomecus;;
73;duffyduckling;;
52;FESC10;;
68;fineclame;;
57;Flatulax;;
61;Fuzzy Cluster;;
93;Ibo212121;;
92;Ibo212121;;
53;Jeremy2626;;
22;JG1000;;
100;Kaelvornn;;
16;Kingstanator;;
6;Kiwi mojo;;
49;Krismaski;;
58;krokre2;;
20;Lady Voldegardine;;
26;Lady Voldemordine;;
38;Lord Voldemaschine;;
46;Lucifi3r;;
81;Marcatuz;;
37;Marcin747;;
10;MateoJ3T;;
8;Memento x Mori;;
87;Mepr;;
80;Mepr;;
19;Michachisa;;
85;Miggaboy;;
83;Mighty Ghost;;
4;Muryōkūsho;;
54;Mustang3110;;
34;Mystyyy;;
70;Myth pala;;
78;NagatoUwU;;
71;NOÉLINE;;
90;Nyxxfall;;
69;Olmer The Great I;;
36;out of game;;
47;Ozzy181994;;
88;Pablo 1010;;
62;ponghi;;
95;pontios1982;;
77;Pumarose;;
59;Qrypsis;;
84;Quatraz;;
2;Queen Anne II;;
27;Rafmac90;;
30;redskin sw;;
66;Relnevs;;
23;Sbanferr;;
11;Scherom;;
17;Scoorpic;;
60;serbus zagreb;;
96;SilenceBG;;
7;Sky Bum;;
3;SkyEddy1;;
99;Small Richard;;
98;Small Richard;;
31;Sparta2876;;
15;Sphen of love;;
14;StanTheMan078;;
1;StefNinja;124627691;27022026-0M961163
65;straight 0090;;
21;Superstorm08;;
75;Taibo1988;;
25;TankLadyB;;
79;TAPI;;
82;Tata111225;;
97;Teddy Bear;;
55;TesterXo;;
86;ThisIsLoreeP;;
42;Tugtug17;;
33;TåNø;;
48;UniField 101;;
72;UrGnie;;
18;Vaidosius;108135794;27022026-0A151185
29;whatyousay;60098715;27022026-0R593143
74;Whispera;20546573;28022026-0F323457
101;Wujek Samo Z?o;18960448;27022026-0G467101
