rank;name;value;player_id
1;serbus zagreb;7000;27022026-0Z138970
2;Lord Voldemaschine;5700;27022026-0S920742
3;Malloan;5650;02032026-0F589565
4;Blo0dThirSty;4900;27022026-0I809518
5;domba98;4750;27022026-0T411972
6;TankLadyB;4650;27022026-0Q651757
7;DominusMaximus;4450;27022026-0P738248
8;Sphen of love;4350;27022026-666X284685
9;whatyousay;4200;28022026-0W747740
10;Ozzy181994;4200;27022026-0H344530
11;krokre2;4100;27022026-0P306296
12;Lady Voldemordine;4050;27022026-0M302133
13;Bru line;3850;02032026-0P562685
14;StefNinja;3700;27022026-0W942940
15;Queen Anne II;3650;27022026-0U759405
16;Kingstanator;3650;27022026-0Z100227
17;Chrizzly12;3600;27022026-0Y629632
18;pontios1982;3500;28022026-0Y425865
19;redskin sw;3450;27022026-0X702646
20;Adiksonrpk;3400;27022026-0F598013
21;Vaidosius;3400;27022026-0N822529
22;Cherwoo White Rabbit;3350;27022026-0A151185
23;Superstorm08;3350;27022026-0Z974905
24;Mighty Ghost;3250;27022026-0D172164
25;BaggerVancer;3250;27022026-0E533809
26;Mapthemachine;3250;02032026-0J916925
27;Scherom;3200;27022026-0W568024
28;Olmer The Great I;3150;27022026-0B805605
29;Sparta2876;3150;27022026-0L227344
30;UrGnie;3100;27022026-0H771285
31;JG1000;3100;28022026-0B188477
32;1nù KubØ;3100;02032026-0L742379
33;StanTheMan078;3100;27022026-0E748278
34;straight 0090;3100;27022026-0G246820
35;Myth pala;3050;27022026-0I601222
36;Pablo 1010;3050;27022026-0U303921
37;SilenceBG;3000;27022026-0N539263
38;Lucifi3r;2900;27022026-0E305366
39;Taibo1988;2850;27022026-0G497261
40;Dradeliomecus;2850;27022026-0Z314234
41;Mustang3110;2800;27022026-0I448270
42;Avonglati;2800;27022026-0J535902
43;TåNø;2800;27022026-0S338920
44;Damian 4488;2750;27022026-0I914905
45;out of game;2700;27022026-0X534888
46;NOÉLINE;2700;27022026-0F809577
47;Flatulax;2650;28022026-0B542343
48;Jeremy2626;2650;27022026-0X928765
49;fineclame;2650;27022026-0J849824
50;Marcin747;2600;27022026-0B443842
51;Ati0307;2550;27022026-0B736222
52;666pyro666;2500;27022026-0F244542
53;MateoJ3T;2450;27022026-0X413496
54;Tata111225;2450;27022026-0G180117
55;UniField 101;2450;27022026-0B621341
56;Krismaski;2350;27022026-0G226654
57;Bladerunner74;2350;27022026-0Q377100
58;Fuzzy Cluster;2350;27022026-0N679616
59;ponghi;2300;27022026-0V597705
60;duffyduckling;2300;27022026-0R593143
61;Muryöküsho;2300;27022026-0A442785
62;Kaelvornn;2300;28022026-0F323457
63;Sky Bum;2300;27022026-0B964735
64;Scoorpic;2250;27022026-0M961163
65;NagatoUwU;2050;27022026-0Q184354
66;Mepr;2050;27022026-0O641712
67;Kiwi mojo;2000;27022026-0X678465
68;Sbanferr;1850;27022026-0H732678
69;Relnevs;1800;27022026-0E317889
70;Mystyyy;1750;27022026-0J796045
71;Dedaloç;1600;27022026-0Z983319
72;Anarchythewildone;1600;27022026-0B975195
73;atomic armadillo;1200;27022026-0I789470
74;Aquarivs;1050;27022026-0F386580
75;CrimsonCriminal;900;27022026-0O689243
76;Rousssi;500;02032026-0I633901
77;SkyEddy1;450;27022026-0U569979
78;Quatraz;0;27022026-0U729737
79;Miggraboy;0;27022026-0F445976
80;Tugtug17;0;27022026-0N645728
81;TAPI;0;27022026-0N598990
82;Alexys99;0;27022026-0F956013
83;Qrypsis;0;27022026-0J150156
84;Lady Voldegardine;0;27022026-0Z247821
85;Bongomarvin;0;27022026-0R887817
86;CyberSagE;0;27022026-0R916570
87;Teddy Bear;0;27022026-0L489800
88;Memento x Mori;0;27022026-0O401672
89;FESC10;0;27022026-0K379920
90;TesterXo;0;27022026-0B939820
91;ThisIsLoreeP;0;27022026-0P478090
92;Rafmac90;0;27022026-0B676774
93;Davidx08;0;27022026-0W370741
94;Ibo212121;0;27022026-0N823518
95;Pumarose;0;27022026-0U156592
96;CG Kills;0;27022026-0O872732
97;Jo8sk;0;02032026-0X761539
98;Marcatuz;0;27022026-0P598551
99;Michachisa;0;27022026-0Z906299
