rank;name;value
1;Malloan;9932586
2;666pyro666;4838782
3;Cherwoo White Rabbit;3699312
4;StefNinja;3409403
5;Muryōkūsho;3395354
6;CG Kills;3358876
7;SkyEddy1;2959740
8;Queen Anne II;2656818
9;redskin sw;2486715
10;Kiwi mojo;2109103
11;Relnevs;1824751
12;Quatraz;1713639
13;Mepr;1550876
14;Scherom;1539572
15;Chrizzly12;1425793
16;Michachisa;1341331
17;Kaelvornn;1316341
18;Avonglati;1277712
19;MateoJ3T;1270579
20;krokre2;1174698
21;Vaidosius;1166173
22;Kingstanator;1158504
23;Alexys99;1126156
24;TesterXo;1125876
25;Rousssi;1076360
26;jpsDarko;1016825
27;Mystyyy;1004411
28;whatyousay;955577
29;TåNø;946128
30;Sky Bum;906518
31;DominusMaximus;817509
32;Marcin747;816568
33;StanTheMan078;770656
34;Sbanferr;755282
35;Sphen of love;749735
36;Scoorpic;725189
37;Lady Voldemordine;668636
38;Adiksonrpk;610606
39;Pumarose;563796
40;NagatoUwU;553797
41;atomic armadillo;548844
42;Lord Voldemaschine;513969
43;Rafmac90;507232
44;Damian 4488;496279
45;Anarchythewildone;485378
46;Krismaski;464016
47;Davidx08;457433
48;Aquarivs;425363
49;Dedaloç;406510
50;Jo8sk;393998
51;JG1000;390540
52;Flatulax;382317
53;TankLadyB;370921
54;Superstorm08;346730
55;Ozzy181994;345909
56;Jeremy2626;342293
57;1nū KubØ;336386
58;Memento x Mori;329959
59;The New Deadman;329152
60;Lucifi3r;324350
61;Bru line;303647
62;DraAgoOn;295913
63;Sparta2876;281031
64;Mustang3110;280714
65;ponghi;256979
66;Qrypsis;236708
67;Taibo1988;224105
68;fineclame;210864
69;out of game;192248
70;Ati0307;190990
71;pontios1982;187517
72;Olmer The Great I;186393
73;Lady Voldegardine;182735
74;Dradeliomecus;180937
75;Mapthemachine;172527
76;BloOdThiRsTy;159162
77;Pablo 1010;156486
78;NOÉLINE;145751
79;serbus zagreb;141650
80;domba98;131665
81;SilenceBG;131303
82;straight 0090;130595
83;Bongomarvin;122936
84;CyberSagE;108197
85;Fuzzy Cluster;100853
86;Mighty Ghost;74526
87;Tugtug17;73636
88;CrimsonCriminal;70009
89;FESC10;69824
90;Bladerunner74;61091
91;UniField 101;60860
92;Myth pala;57470
93;Tata111225;56296
94;Ibo212121;53797
95;Miggaboy;34270
96;duffyduckling;26721
97;TAPI;17962
98;ThisIsLoreeP;12278
99;Marcatuz;9580
