rank;name;value;player_id
1;StefNinja;73739101;27022026-0W942940
2;CG Kills;67497881;27022026-0O872732
3;TesterXo;62031054;27022026-0B939820
4;Queen Anne II;60789992;27022026-0U759405
5;JG1000;59569920;28022026-0B188477
6;666pyro666;58483308;27022026-0F244542
7;Chrizzly12;57096551;27022026-0Y629632
8;Ati0307;54630836;27022026-0B736222
9;Relnevs;54309557;27022026-0E317889
10;Lucifi3r;54054659;27022026-0E305366
11;Adiksonrpk;52824610;27022026-0F598013
12;SkyEddy1;52329356;27022026-0U569979
13;Muryōkūsho;52257703;27022026-0A442785
14;Scoorpic;51963565;27022026-0M961163
15;jpsDarko;51947348;080326-9X123456
16;Jo8sk;51671876;02032026-0X761539
17;Jeremy2626;50325759;27022026-0X928765
18;Rousssi;49293644;02032026-0I633901
19;Alexys99;49228976;27022026-0F956013
20;TankLadyB;48173853;27022026-0Q651757
21;CyberSagE;47649826;27022026-0R916570
22;1nū KubØ;47226098;02032026-0L742379
23;MateoJ3T;47171249;27022026-0X413496
24;Cherwoo White Rabbit;46937404;27022026-0A151185
25;Kingstanator;46752341;27022026-0Z100227
26;domba98;46676667;27022026-0T411972
27;Memento x Mori;46651520;27022026-0O401672
28;Fuzzy Cluster;46589832;27022026-0N679616
29;Sparta2876;46473946;27022026-0L227344
30;Damian 4488;45224658;27022026-0I914905
31;TåNø;44813814;27022026-0S338920
32;Sbanferr;44549404;27022026-0H732678
33;Aquarivs;43727698;27022026-0F386580
34;Olmer The Great I;43623509;27022026-0B805605
35;straight 0090;42931463;27022026-0G246820
36;Pablo 1010;42846353;27022026-0U303921
37;DominusMaximus;41692842;27022026-0P738248
38;StanTheMan078;41589600;27022026-0E748278
39;Sphen of love;41509991;27022026-666X284685
40;Scherom;41374531;27022026-0W568024
41;NagatoUwU;41147747;27022026-0Q184354
42;Quatraz;40916742;27022026-0U729737
43;Tugtug17;40304976;27022026-0N645728
44;redskin sw;40231806;27022026-0X702646
45;Malloan;40103491;02032026-0F589565
46;Qrypsis;39992300;27022026-0J150156
47;ThisIsLoreeP;39232881;27022026-0P478090
48;Michachisa;39048946;27022026-0Z906299
49;DraAgooN;38844640;04032026-0N722547
50;Tata111225;38534987;27022026-0G180117
51;Mystyyy;38261005;27022026-0J796045
52;Bru line;38109428;02032026-0P562685
53;Vaidosius;37913560;27022026-0N822529
54;Mapthemachine;37421173;02032026-0J916925
55;Dradeliomecus;37272697;27022026-0Z314234
56;BloOdThiRsTy;37053994;27022026-0I809518
57;Dedaloç;36673919;27022026-0Z983319
58;Ibo212121;36597053;27022026-0N823518
59;Lady Voldegardine;36495211;27022026-0Z247821
60;Anarchythewildone;36410668;27022026-0B975195
61;Avonglati;35996472;27022026-0J535902
62;Bongomarvin;35791430;27022026-0R887817
63;Mustang3110;34700429;27022026-0I448270
64;Bladerunner74;33556057;27022026-0Q377100
65;Kiwi mojo;33553890;27022026-0X678465
66;duffyduckling;33020224;27022026-0R593143
67;serbus zagreb;32946952;27022026-0Z138970
68;The New Deadman;32836660;080326-9X234567
69;Pumarose;32543447;27022026-0U156592
70;UniField 101;32445447;27022026-0B621341
71;krokre2;31903226;27022026-0P306296
72;Sky Bum;31673306;27022026-0B964735
73;Lady Voldemordine;31614216;27022026-0M302133
74;FESC10;31288397;27022026-0K379920
75;Lord Voldemaschine;31144299;27022026-0S920742
76;NOÉLINE;31143021;27022026-0F809577
77;Superstorm08;31048913;27022026-0Z974905
78;Kaelvornn;30310416;28022026-0F323457
79;Davidx08;29706085;27022026-0W370741
80;Ozzy181994;29363234;27022026-0H344530
81;Krismaski;28620644;27022026-0G226654
82;Rafmac90;28577663;27022026-0B676774
83;CrimsonCriminal;28257857;27022026-0O689243
84;Mepr;28160586;27022026-0O641712
85;whatyousay;27483031;28022026-0W747740
86;Marcin747;26986869;27022026-0B443842
87;SilenceBG;26888015;27022026-0N539263
88;Flatulax;24374948;28022026-0B542343
89;atomic armadillo;24356684;27022026-0I789470
90;out of game;23863032;27022026-0X534888
91;ponghi;23047811;27022026-0V597705
92;TAPI;23028748;27022026-0N598990
93;Marcatuz;22043263;27022026-0P598551
94;Miggaboy;22035130;27022026-0F445976
95;pontios1982;21420728;28022026-0Y425865
96;Taibo1988;21229496;27022026-0G497261
97;Myth pala;20941222;27022026-0I601222
98;Mighty Ghost;19125807;27022026-0D172164
99;fineclame;17817579;27022026-0J849824
