Index;Playername;Score;player_id
1;StefNinja;22107550;27022026-0W942940
2;Muryōkūsho;19929044;27022026-0A442785
3;Avonglati;18615440;27022026-0J535902
4;DominusMaximus;16419400;27022026-0P738248
5;SkyEddy1;15871158;27022026-0U569979
6;Vaidosius;15150150;27022026-0N822529
7;Sphen of love;14902000;27022026-666X284685
8;666pyro666;14800647;27022026-0F244542
9;Kiwi mojo;14563870;27022026-0X678465
10;Sky Bum;13691550;27022026-0B964735
11;MateoJ3T;13681675;27022026-0X413496
12;Scherom;12946925;27022026-0W568024
13;out of game;11969523;27022026-0X534888
14;Dedaloς;11017450;27022026-0Z983319
15;Chrizzly12;10902575;27022026-0Y629632
16;Superstorm08;10868415;27022026-0Z974905
17;StanTheMan078;10686700;27022026-0E748278
18;Queen Anne ll;10161671;27022026-0U759405
19;Anarchythewildone;9810010;27022026-0B975195
20;Michachisa;9773235;27022026-0Z906299
21;Flatulax;9537925;28022026-0B542343
22;UniField 101;9453325;27022026-0B621341
23;JG1000;9352020;28022026-0B188477
24;Rafmac90;9249870;27022026-0B676774
25;Lady Voldemordine;9118400;27022026-0M302133
26;TankLadyB;9007375;27022026-0Q651757
27;whatyousay;8843975;28022026-0W747740
28;Tugtug17;8783050;27022026-0N645728
29;Marcin747;8622600;27022026-0B443842
30;Scoorpic;8615325;27022026-0M961163
31;Dradeliomecus;8615050;27022026-0Z314234
32;Ibo212121;8588575;27022026-0N823518
33;Sbanferr;8569650;27022026-0H732678
34;Lucifi3r;8380935;27022026-0E305366
35;BaggerVancer;8367850;27022026-0E533809
36;Mustang3110;8356786;27022026-0I448270
37;Lord Voldemaschine;8277425;27022026-0S920742
38;Kingstanator;8177200;27022026-0Z100227
39;redskin sw;8135500;27022026-0X702646
40;domba98;7963225;27022026-0T411972
41;Olmer The Great I;7821575;27022026-0B805605
42;ᴄʜɪᴄᴋᴇɴ;7819250;27022026-0S340208
43;Sparta2876;7812773;27022026-0L227344
44;Ozzy181994;7703055;27022026-0H344530
45;Cherwoo White Rabbit;7698400;27022026-0A151185
46;ponghi;7689225;27022026-0V597705
47;Mystyyy;7663550;27022026-0J796045
48;Alexys99;7580725;27022026-0F956013
49;Relnevs;7516800;27022026-0E317889
50;Jeremy2626;7491350;27022026-0X928765
51;Qrypsis;7440800;27022026-0J150156
52;Mepr;7421475;27022026-0O641712
53;Memento x Mori;7416650;27022026-0O401672
54;Lady Voldegardine;7332600;27022026-0Z247821
55;finecIame;7328500;27022026-0J849824
56;atomic armadillo;7208050;27022026-0I789470
57;Ati0307;6611275;27022026-0B736222
58;CG  Kills;6332825;27022026-0O872732
59;Bladerunner74;6047175;27022026-0Q377100
60;Miggaboy;6005725;27022026-0F445976
61;Tata111225;5936475;27022026-0G180117
62;Fuzzy Cluster;5804276;27022026-0N679616
63;Mighty Ghost;5635705;27022026-0D172164
64;UrGnie;5622400;27022026-0H771285
65;FESC10;5580250;27022026-0K379920
66;Davidx08;5537950;27022026-0W370741
67;Nyxxfall;5537650;27022026-0W836537
68;serbus zagreb;5530950;27022026-0Z138970
69;Adiksonrpk;5514625;27022026-0F598013
70;TåNø;5288325;27022026-0S338920
71;NOÉLINE;5286300;27022026-0F809577
72;TesterXo;5059375;27022026-0B939820
73;Damian 4488;4795925;27022026-0I914905
74;straight 0090;4752650;27022026-0G246820
75;NagatoUwU;4587025;27022026-0Q184354
76;Blo0dThiRsTy;4490415;27022026-0I809518
77;duffyduckling;4465100;27022026-0R593143
78;Pumarose;4315675;27022026-0U156592
79;Myth pala;4296775;27022026-0I601222
80;Krismaski;4247080;27022026-0G226654
81;krokre2;4202430;27022026-0P306296
82;Quatraz;4105150;27022026-0U729737
83;Taibo1988;4096225;27022026-0G497261
84;Bongomarvin;3723275;27022026-0R887817
85;CyberSagE;3721075;27022026-0R916570
86;Aquarivs;3697175;27022026-0F386580
87;Whispera;3638250;27022026-0O221816
88;CrimsonCriminal;3631600;27022026-0O689243
89;ᴛᴀᴘɪ;3584105;27022026-0N598990
90;ThisIsLoreeP;3328500;27022026-0P478090
91;Pablo 1010;3099600;27022026-0U303921
92;Small Richard;3006090;27022026-0H649953
93;Marcatuz;2605050;27022026-0P598551
94;Tеddу Вeаr;2417450;27022026-0L489800
95;SilenceBG;1866535;27022026-0N539263
